const_or_not	value	Meaning
1	69.8	V00
1	8000	c1
1	19200	c2
1	941	c3
1	2	a1
1	1	a2
1	1	a3
1	1	a4
1	1	a5
0	102.8	theta1
0	95.9	theta2
0	150.1	theta3
0	150.1	theta4
0	150.1	theta5
1	1427.4	theta6
1	4415.3	theta7
1	1942.3	theta8
1	1014.8	theta9
1	1456.6	theta10
1	872.3	theta11
1	4384.1	theta12
1	2311.4	theta13
1	1703.8	theta14
1	1239	theta15
1	989.5	theta16
1	1453.2	theta17
1	4398.3	theta18
1	1886.3	theta19
1	1650.5	theta20
1	587.5	theta21
1	1407.7	theta22
1	1490.6	theta23
1	2126.7	theta24
1	4421.3	theta25
0	1	q1
0	2	q2
0	2.6	q3
0	2.6	q4
0	2.6	q5
1	3	gamma1
1	3	gamma2
1	3	gamma3
1	3	gamma4
1	3	gamma5
1	0.0447	gamma6
1	0.0331	gamma7
1	0.03	gamma8
1	0.03	gamma9
1	0.051	gamma10
1	0.0046	gamma11
1	0.0299	gamma12
1	0.0202	gamma13
1	0.0256	gamma14
1	0.03	gamma15
1	0.03	gamma16
1	0.03	gamma17
1	0.03	gamma18
1	0.03	gamma19
1	0.03	gamma20
1	0.03	gamma21
1	0.03	gamma22
1	0.03	gamma23
1	0.03	gamma24
1	0.03	gamma25
0	-3.17E-05	aa
0	-0.134229919	bb
0	0.028219998	cc
